,Numéro département,Latitude,Longitude
,1,46.199424743652344,5.21480131149292
,2,49.4532855,3.606899
,3,49.4217,3.6847
,4,44.1640832,6.1878515
,5,44.5611978,6.0820018
,6,43.7009358,7.2683912
,7,44.815194,4.3986525
,8,49.768760681152344,4.72592830657959
,9,42.9455368,1.4065544
,10,48.3201921,4.1905397
,11,43.0542733,2.5124715
,12,44.3158575,2.5065697
,13,43.5424182,5.0343236
,14,49.0907648,-0.2413951
,15,45.0497701,2.6997176
,16,45.6667902,0.097305
,17,45.7302267,-0.7212876
,18,47.0248824,2.5753334
,19,45.3429047,1.8176424
,2A,41.8734082,9.0087052
,2B,42.4219698,9.1009065
,21,47.4655033,4.7481223
,22,48.4584221,-2.7505868
,23,46.0593485,2.048901
,24,45.1429198,0.6321258
,25,47.0669915,6.2356228
,26,44.7296458,5.2045596
,27,49.0756358,0.9652026
,28,48.4474102,1.399882
,29,48.2452998,-4.0440302
,30,43.95995,4.297637
,31,43.3054546,0.9716792
,32,43.6955276,0.4101019
,33,44.8837459,-0.6051264
,34,43.6112422,3.8767337
,35,48.1113387,-1.6800198
,36,46.8121056,1.5382052
,37,47.2232046,0.6866703
,38,45.2897932,5.6343825
,39,46.7833625,5.7832857
,40,44.0099694,-0.6433872
,41,47.6597752,1.2971835
,42,45.7538536,4.0454737
,43,45.0857248,3.8338261
,44,47.3481614,-1.8727461
,45,47.9140388,2.3073795
,46,44.6249918,1.6657742
,47,44.3691703,0.4539158
,48,44.5425706,3.5211146
,49,47.3886305,-0.3909097
,50,49.0918952,-1.2454371
,51,48.961264,4.3122436
,52,48.1329414,5.2529108
,53,48.1507819,-0.6491274
,54,48.9559682,5.9870383
,55,49.0129685,5.4286691
,56,47.8259811,-2.7633493
,57,49.0207259,6.5380352
,58,47.119697,3.5448898
,59,50.6365654,3.0635282
,60,49.4120546,2.4064878
,61,48.4312059,0.0911374
,62,50.5144061,2.2580078
,63,45.77871322631836,3.0857419967651367
,64,43.1871865,-0.7282474
,65,43.1437925,0.1586661
,66,42.625894,2.506509
,67,48.5991783,7.5338186
,68,47.8654746,7.2315433
,69,45.7578137,4.8320114
,70,47.6384233,6.0951141
,71,46.6557086,4.5585548
,72,48.0269288,0.2538217
,73,45.4948951,6.3846604
,74,46.0688209,6.344537
,75,48.8588897,2.320041
,76,49.6632374,0.9401134
,77,48.6190207,3.0418158
,78,48.7620373,1.8871376
,79,46.53914,-0.2994785
,80,49.9689714,2.373859
,81,43.7921741,2.1339648
,82,44.080656,1.2050633
,83,43.4173592,6.266462
,84,43.9938644,5.1818898
,85,46.6757732,-1.2914463
,86,46.6121166,0.465407
,87,45.9190192,1.2031768
,88,48.163786,6.3820712
,89,47.8551257,3.6450439
,90,47.629231,6.8993012
,91,48.5303402,2.2392918
,92,48.8401859,2.1986412
,93,48.9098125,2.4528635
,94,48.7744894,2.4543321
,95,49.0750704,2.2098114
